Table 1.3. Current-Cost Depreciation of Fixed Assets and Consumer Durable Goods
Table 1.3. Current-Cost Depreciation of Fixed Assets and Consumer Durable Goods
"Last Revised on: September 30, 2022"
Line,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Fixed assets and consumer durable goods,105.2,108.7,113.2,119.0,125.8,133.8,144.3,156.4,171.9,189.2,206.2,224.2,242.0,267.1,306.4,349.7,383.1,426.8,481.5,546.4,621.1,695.0,751.5,782.6,835.5,901.6,973.1,1044.6,1122.3,1201.9,1275.6,1339.5,1380.3,1445.9,1522.4,1613.9,1687.4,1770.0,1863.8,1980.1,2133.9,2255.9,2343.8,2434.1,2578.0,2771.1,2965.2,3131.8,3269.9,3292.7,3305.9,3405.8,3526.8,3648.2,3795.1,3915.9,4012.5,4187.7,4383.9,4590.0,4790.8,5196.7
2,"  Fixed assets",67.9,70.6,74.1,78.0,82.4,88.0,95.3,103.6,113.4,124.9,136.8,148.9,161.0,178.1,206.8,238.5,260.3,289.8,327.1,373.8,428.4,487.2,537.0,563.1,598.7,640.3,685.1,730.1,784.4,838.3,888.6,932.4,960.3,1003.3,1055.6,1122.4,1175.3,1239.1,1309.7,1399.0,1511.0,1599.9,1658.0,1719.2,1821.6,1970.9,2124.0,2252.0,2358.8,2371.5,2390.9,2474.4,2575.9,2681.2,2815.0,2911.3,2987.0,3118.8,3275.7,3436.4,3577.9,3832.9
3,"    Private",48.2,49.8,51.8,54.2,57.3,61.6,67.2,73.3,80.6,89.4,98.3,107.6,117.5,131.5,153.2,178.8,196.5,221.1,252.1,290.7,335.0,381.9,420.4,438.8,463.5,496.4,531.6,566.0,607.9,649.6,688.4,721.5,742.9,778.2,822.5,880.7,929.1,987.8,1052.2,1132.2,1231.5,1311.7,1361.8,1411.9,1497.1,1622.6,1751.8,1852.5,1931.8,1928.7,1933.8,1997.3,2082.4,2176.6,2298.5,2388.5,2459.9,2576.8,2710.5,2850.1,2971.8,3184.5
4,"      Nonresidential",38.9,40.1,41.7,43.6,46.1,49.6,54.2,59.4,65.4,72.4,79.9,87.3,94.7,105.2,122.8,144.5,158.7,177.5,200.8,230.9,266.7,307.2,341.2,356.7,376.4,403.7,430.6,456.0,489.8,523.8,556.9,585.9,603.1,629.5,664.5,713.4,753.5,803.0,855.7,920.7,1002.3,1063.2,1098.2,1125.1,1177.8,1264.3,1359.8,1447.2,1532.6,1547.4,1558.6,1624.4,1706.7,1778.8,1873.6,1947.7,1997.4,2086.2,2183.8,2302.1,2396.5,2532.0
5,"        Equipment",23.9,24.4,25.1,26.2,27.6,29.7,32.6,35.9,39.4,43.4,47.6,51.7,55.8,61.4,71.6,86.0,95.5,107.5,122.3,140.7,163.8,185.9,203.9,213.1,222.7,237.1,253.1,268.5,285.4,302.8,318.3,329.5,337.2,347.7,366.5,392.8,413.8,435.0,455.4,482.5,516.8,538.0,546.6,550.8,569.2,599.7,632.5,669.9,699.3,702.7,701.7,728.1,761.6,795.0,829.0,860.0,882.5,909.4,944.6,980.9,1001.2,1045.0
6,"        Structures",9.7,9.9,10.2,10.5,11.0,11.7,12.6,13.4,14.6,16.0,17.6,19.4,21.4,24.6,29.2,33.8,36.3,40.5,45.9,53.0,60.0,71.8,81.2,81.2,84.0,88.7,92.0,93.3,100.0,105.9,111.6,115.9,116.5,120.9,126.3,133.4,138.8,147.4,157.7,164.3,173.8,188.4,200.9,210.7,229.1,262.7,299.4,321.9,346.4,342.5,340.4,354.1,374.1,383.9,411.2,424.2,422.8,434.7,439.6,462.6,468.0,480.8
7,"        Intellectual property products",5.3,5.8,6.3,6.8,7.5,8.2,9.1,10.1,11.5,13.0,14.7,16.1,17.4,19.2,22.0,24.7,26.9,29.4,32.7,37.2,43.0,49.5,56.1,62.4,69.8,77.8,85.6,94.1,104.4,115.1,127.0,140.5,149.4,160.9,171.6,187.2,200.9,220.6,242.6,274.0,311.7,336.8,350.7,363.6,379.5,401.9,427.9,455.5,486.9,502.1,516.4,542.2,571.0,599.9,633.3,663.5,692.2,742.1,799.7,858.7,927.3,1006.2
8,"      Residential",9.3,9.7,10.1,10.5,11.2,12.0,13.0,13.9,15.2,17.1,18.4,20.4,22.8,26.3,30.3,34.3,37.8,43.6,51.3,59.8,68.2,74.8,79.2,82.1,87.1,92.7,100.9,110.0,118.1,125.8,131.5,135.6,139.8,148.7,158.1,167.4,175.6,184.8,196.5,211.5,229.2,248.5,263.6,286.9,319.3,358.3,392.0,405.3,399.2,381.3,375.2,373.0,375.6,397.8,424.9,440.7,462.5,490.6,526.7,548.0,575.4,652.5
9,"    Government",19.7,20.8,22.3,23.9,25.1,26.4,28.1,30.2,32.7,35.4,38.6,41.3,43.5,46.7,53.7,59.7,63.8,68.7,75.0,83.1,93.4,105.3,116.6,124.4,135.2,143.9,153.6,164.1,176.5,188.7,200.2,211.0,217.4,225.1,233.1,241.6,246.2,251.3,257.6,266.8,279.5,288.2,296.2,307.2,324.5,348.3,372.2,399.5,427.0,442.8,457.2,477.1,493.6,504.6,516.5,522.8,527.1,542.0,565.1,586.3,606.1,648.4
10,"      Nonresidential",19.5,20.7,22.1,23.7,24.9,26.2,27.9,30.0,32.5,35.2,38.3,41.0,43.1,46.2,53.2,59.2,63.2,68.0,74.2,82.2,92.4,104.2,115.4,123.1,133.8,142.4,152.1,162.6,174.8,186.8,198.2,208.9,215.3,222.9,230.7,239.1,243.6,248.6,254.7,263.8,276.3,284.8,292.7,303.5,320.4,343.9,367.4,394.5,422.2,438.1,452.5,472.3,488.7,499.5,511.1,517.3,521.3,536.1,558.9,579.9,599.4,640.9
11,"        Equipment",9.2,9.5,10.1,10.7,10.9,11.1,11.5,12.1,12.9,13.4,13.9,14.1,14.2,14.3,15.8,17.5,19.4,21.3,23.7,25.9,28.3,31.5,35.5,38.7,43.9,46.4,49.3,52.3,56.0,60.6,64.9,69.3,71.9,74.6,78.0,79.5,80.0,79.3,80.2,81.6,84.3,85.5,86.6,88.7,92.2,95.9,99.9,105.0,112.0,118.4,123.2,128.0,131.0,131.5,131.6,131.2,130.7,132.0,135.2,138.5,142.4,149.6
12,"        Structures",5.4,5.6,5.9,6.2,6.6,7.0,7.6,8.2,9.0,9.9,11.2,12.5,13.5,15.2,18.6,20.9,21.6,22.8,24.5,27.4,31.4,35.5,38.4,38.9,39.8,41.2,43.5,46.0,48.2,50.3,52.9,54.8,56.4,59.0,61.9,65.7,69.0,72.8,76.4,80.7,86.0,90.9,95.4,99.8,107.6,120.5,133.2,147.6,159.7,165.2,168.2,176.5,185.2,191.1,197.2,201.2,205.2,212.7,223.8,233.8,240.0,260.7
13,"        Intellectual property products",5.0,5.5,6.1,6.7,7.5,8.1,8.8,9.6,10.7,11.8,13.1,14.4,15.4,16.8,18.9,20.8,22.2,23.9,26.0,28.9,32.8,37.2,41.6,45.5,50.2,54.8,59.4,64.3,70.6,75.9,80.4,84.8,87.0,89.3,90.8,94.0,94.7,96.5,98.2,101.5,106.0,108.4,110.8,114.9,120.6,127.4,134.2,141.9,150.5,154.5,161.1,167.8,172.5,176.9,182.3,184.8,185.5,191.3,199.8,207.7,217.1,230.6
14,"      Residential",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.9,1.0,1.1,1.2,1.3,1.4,1.4,1.4,1.6,1.7,1.9,2.0,2.0,2.1,2.2,2.4,2.5,2.6,2.7,2.8,3.0,3.2,3.4,3.5,3.8,4.1,4.5,4.8,4.9,4.8,4.7,4.7,4.8,4.8,5.1,5.4,5.5,5.7,6.0,6.2,6.4,6.7,7.5
